,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
552,c9b24ed6-75f1-486b-a6e8-52641a56f23e,Shyam sundar awasthi,https://play-lh.googleusercontent.com/a/ACg8ocJzbZHJFs0FJwq3fPMgJwbAfOhONk1hJRddZN2BeCtoWcbjrQ=mo,Good,5,0,7.1.5.633808517,2024-08-11 22:07:46,,,7.1.5.633808517
553,e9d89706-faf5-4ae4-a144-50ff1a785936,Naresh Gujarathi,https://play-lh.googleusercontent.com/a/ACg8ocKPxA2vsBCahB9xkbOkGcm0p3rMrh60XRNow1J-oEgP7gpilA=mo,Good,5,0,7.1.5.633808517,2024-08-11 22:04:15,,,7.1.5.633808517
554,66508cd6-79b0-4181-b1e9-d5cc907ab92a,Abhishek kumar Bind,https://play-lh.googleusercontent.com/a-/ALV-UjWFH6lj2vt-kcf3w3xOQ1Lm_G--9ElRUb6M9D2RVsPQJRCILmUj,Good app,5,0,7.1.5.605563270,2024-08-11 21:59:00,,,7.1.5.605563270
555,ab4dabe9-4044-42fb-93f2-f892fc02972a,SOMA Devi,https://play-lh.googleusercontent.com/a/ACg8ocKsTFkHaiJcu4BIMayYybg9DGg1IcyIa6FOqqOxqDbY683aPw=mo,Nice app,5,0,7.1.5.596544668,2024-08-11 21:58:34,,,7.1.5.596544668
556,a04ad016-fbb2-45c4-b900-320650cbdcee,RAVI KANT jha,https://play-lh.googleusercontent.com/a-/ALV-UjVtmo82VVOHT020L5B04CJwFUL3LbBBmhgAAqxi6ylIGANy5DO3,Super,5,0,7.1.5.633808517,2024-08-11 21:53:04,,,7.1.5.633808517
557,39a46412-f254-4161-ae26-1eaa685f3534,pemp singh,https://play-lh.googleusercontent.com/a-/ALV-UjV6skjSNgJVtjkLYxWCMZimNnfHMWFFPikY_ztokK5Nm_gHOOxl,Very good Application,5,0,7.1.5.633808517,2024-08-11 21:52:23,,,7.1.5.633808517
558,db4fc7b3-2ec9-475c-9ad9-593c87334693,laxminarayan Pandey,https://play-lh.googleusercontent.com/a-/ALV-UjXsoKTEJMXfszyNWuf6K6bG8VUjEND2lKOuYOIqxlLDUOwoYb4,Good job,5,0,7.1.5.633808517,2024-08-11 21:51:01,,,7.1.5.633808517
559,609e2ebd-4851-44b5-b0f5-9dd4d6548201,arjunkashyap arjunkashyap,https://play-lh.googleusercontent.com/a-/ALV-UjW16fuRzrkpLis6_nKt2BJ2ul1iDXYT7Tww9nakGfYlbaVc41o,Very nice 🙂🙂🙂,5,0,7.1.5.633808517,2024-08-11 21:49:48,,,7.1.5.633808517
560,dbfb8c41-f2f1-4605-aa13-5647bead4a8c,AYYAPPAN M,https://play-lh.googleusercontent.com/a-/ALV-UjUdbeR4fPuBctK1exGMG9n0BMTA_ViB1yAn3vsZcivU_nZtI1Vx,Good 👍,5,0,7.1.5.633808517,2024-08-11 21:49:37,,,7.1.5.633808517
561,9d678e1e-e707-42ea-a3c2-ee0fa91a56f4,PRANK FF,https://play-lh.googleusercontent.com/a-/ALV-UjUCDlFhPckJWeeY_oO4rAhI5oKFlZ3B6JCDF7w6Dnr40vHisqg,Nice app this app is very good work,5,0,7.1.5.633808517,2024-08-11 21:49:26,,,7.1.5.633808517
